ending	size	none	gzip	bzip2	lzma	snappy	deflate	lz4	lz4hc	pfor
AVI	102400	2196	12337189	25124521	25469630	346573	5085874	566155	3514036	2117132
AVI	102400	2196	5271787	29795386	31223764	180057	5257514	383169	3204793	2142384
AVI	102400	2195	5085874	24574104	24717563	184449	5026954	379144	3416323	2373677
AVI	102400	2195	5246170	24517744	26554729	201649	5167486	379144	3253833	2103225
AVI	102400	2196	5287889	33665145	26027001	203479	5201155	540171	11812389	2331224
AVI	102400	2562	5025856	25308603	34503215	247395	5144064	405128	3558685	2097736
AVI	102400	2195	5574443	27108074	29216789	181155	5067943	380242	6771163	2307436
AVI	102400	2196	5120275	35848518	39863200	173836	5208840	424891	9254265	7728539
AVI	102400	2562	5099416	24975938	26601573	175665	5003532	556639	3272131	2030397
AVI	102400	2196	5233726	24467606	33706134	175665	5351569	423793	3622730	2121523
AVI	102400	2196	5933093	26737348	26953635	182253	5404999	391953	3426936	2019784
AVI	102400	2562	7355250	30917083	27814761	178959	13171600	425622	4000410	1983919
AVI	102400	2195	5207743	24584350	25201740	191402	5240680	382072	3248709	2101762
AVI	102400	2561	5836478	25168438	30374350	174568	5088070	411350	3574422	2035155
AVI	102400	2928	13002888	35418504	37679096	304853	5352301	870274	4938023	2431865
AVI	102400	2927	5974448	24066504	28070207	1281990	5167852	454534	3612116	1997094
AVI	102400	2562	5178099	31343802	27155651	321687	5105637	414644	9426636	2382826
AVI	102400	2562	5187614	25463043	42240171	216654	5373527	391221	5209939	2046866
AVI	102400	2561	5118080	26418588	25886469	178227	5461359	6235384	3626389	2157022
AVI	102400	4391	9047858	30931355	28420440	186645	5063917	467342	3248709	2454556
AVI	102400	3294	5364743	28830326	23624413	1317123	5338393	541269	3453286	2042475
AVI	102400	2196	8023510	25539530	25952709	195062	5192372	376582	3183932	2672673
AVI	102400	2562	7196054	31716725	25462677	195794	5537115	383536	3102322	4069212
AVI	102400	2562	5193469	32111972	38254766	192133	5105271	382072	3551366	2468828
AVI	102400	2561	5824766	25909159	27091971	262034	5478194	448679	3629317	2031862
AVI	102400	2562	5250561	28425929	27018412	173469	5274349	412813	3990163	1985749
AVI	102400	2561	5621654	25001555	34965800	170908	5215794	379876	3252369	2093710
AVI	102400	2195	5390727	36766369	34187383	211896	5536017	386464	3791441	2075046
AVI	102400	2196	13880482	26357472	25122691	223607	6787266	367433	3146237	2251443
AVI	102400	2196	5922480	26943022	25930385	189938	5163461	410617	4464093	2710368
AVI	102400	9881	5081483	25879882	26982547	173835	5032077	450142	3637002	1961961
AVI	102400	2196	5058427	24688652	32460741	200185	12242404	409520	8023144	2021980
AVI	102400	2195	5720465	24637416	35902315	251786	4981940	368897	3549902	2105421
AVI	102400	2561	5493198	26917404	27052813	276673	5164558	394148	4496664	2105055
AVI	102400	2196	5130889	30861089	30349098	739624	5321193	473565	3383020	2111642
AVI	102400	2562	5239948	24530187	34707792	189206	5395851	496620	3351912	2081999
AVI	102400	2196	5306188	33511439	31278294	172738	5286060	518212	3318609	2224361
AVI	102400	7685	5159069	31673540	26338441	182985	5162362	409153	9296351	2060407
AVI	102400	2562	5123936	30534279	25244925	196891	5173708	483812	3323367	2277793
AVI	102400	2196	5048912	26652809	26731127	222143	5590546	442091	4097757	1969281
AVI	102400	2195	5226773	25084264	26584738	187742	5936387	385000	3120985	2279989
AVI	102400	2562	5925408	24242901	39237394	237514	13222469	410617	3397293	3352645
AVI	102400	2196	5241778	25979791	27157115	234586	5125033	468074	3550268	2092246
AVI	102400	2196	6141696	26221697	26596450	187376	5208108	376216	3284208	2095174
AVI	102400	2562	5269592	30884145	53350266	180057	7270711	382438	3238828	2006244
AVI	102400	2562	5334001	25346665	26416393	196891	5206644	383902	3286038	2430768
AVI	102400	2195	5117714	31250481	25224430	185547	5219820	392319	3566736	1987579
AVI	102400	2196	5182491	24184346	30803998	281796	5295575	394880	3417055	2020882
AVI	102400	2562	11455570	24810519	24793684	456364	7289742	406226	4938755	3899768
AVI	102400	2196	5535651	38056045	25663594	196891	5041226	402932	3310192	2011001
AVI	102400	2196	5129059	24259004	41985457	172372	4992552	715470	3216504	1979162
AVI	102400	2562	5131255	25684820	26101658	184449	5159801	425622	3297017	2047964
AVI	102400	2562	5174440	33404209	28381647	230195	6459723	478322	3443039	3560881
AVI	102400	2196	5304724	29948362	35970386	177129	10984933	562495	3214308	2054917
AVI	102400	2196	5193104	27009629	25579787	183350	5535285	387196	3136722	2135797
AVI	102400	2561	5063916	26609258	31188632	198355	5151017	501743	3230411	1995265
AVI	102400	2196	5108565	24661204	24447111	220680	5125400	345475	3295919	2492617
AVI	102400	2196	5335099	36232786	27214572	184449	5474900	398541	3730691	2125915
AVI	102400	2196	6822765	27326192	25717391	191036	5028784	380608	3742402	2061505
AVI	102400	2196	5259344	25519036	36404791	181887	9796265	373288	3238827	3166732
AVI	102400	2562	5172975	27106610	26275128	176031	5209939	357552	3399854	8692135
AVI	102400	2195	5175537	24595696	30765205	215555	5030979	419401	3344959	2214480
AVI	102400	2196	5080020	26683917	35537810	193598	5327048	393051	3401685	2228021
AVI	102400	2562	5232262	24699631	24435401	180789	5053304	436235	3203329	2093345
AVI	102400	2561	8368252	24800272	34192141	174202	5196764	408422	5017804	2178981
AVI	102400	2196	5233361	36003689	25037420	188841	5048911	413545	3166000	2275963
AVI	102400	2196	5211402	26301113	27628849	171639	5027685	427086	3757040	2401856
AVI	102400	2562	5197861	26609990	24824426	184083	5100147	369629	3377165	2006243
AVI	102400	2195	5282034	31139958	37812675	185913	5365475	387928	3660058	2290968
AVI	102400	2562	5200058	32046097	32861477	187010	5086606	462219	3216138	2194352
AVI	102400	2562	11447884	24207768	26904595	193232	5127595	406592	9590224	1970379
AVI	102400	2562	5495029	25502933	36982291	197624	5119178	466611	3185031	2130673
AVI	102400	2562	5365475	24496884	34977878	315099	5806102	409519	3196009	3667744
AVI	102400	2196	10295447	25119763	29523838	315831	5443793	353160	4849824	8269441
